pair,name,variant,position,token_id,text,role,role_ko,role_id
1,단순문장 1,a,0,cheolsu,철수가,SUBJ,주어,0
1,단순문장 1,a,1,younghee,영희를,OBJ,목적어,1
1,단순문장 1,a,2,like,좋아한다,PRED,서술어,2
1,단순문장 1,b,0,younghee,영희를,OBJ,목적어,1
1,단순문장 1,b,1,cheolsu,철수가,SUBJ,주어,0
1,단순문장 1,b,2,like,좋아한다,PRED,서술어,2
2,단순문장 2,a,0,student,학생이,SUBJ,주어,0
2,단순문장 2,a,1,book,책을,OBJ,목적어,1
2,단순문장 2,a,2,read,읽었다,PRED,서술어,2
2,단순문장 2,b,0,book,책을,OBJ,목적어,1
2,단순문장 2,b,1,student,학생이,SUBJ,주어,0
2,단순문장 2,b,2,read,읽었다,PRED,서술어,2
3,단순문장 3,a,0,cat,고양이가,SUBJ,주어,0
3,단순문장 3,a,1,fish,생선을,OBJ,목적어,1
3,단순문장 3,a,2,eat,먹었다,PRED,서술어,2
3,단순문장 3,b,0,fish,생선을,OBJ,목적어,1
3,단순문장 3,b,1,cat,고양이가,SUBJ,주어,0
3,단순문장 3,b,2,eat,먹었다,PRED,서술어,2
4,복잡문장 1: 관형어와 부사어,a,0,minsu,민수가,SUBJ,주어,0
4,복잡문장 1: 관형어와 부사어,a,1,yesterday,어제,TIME,부사어(시간),5
4,복잡문장 1: 관형어와 부사어,a,2,library,도서관에서,LOC,부사어(장소),6
4,복잡문장 1: 관형어와 부사어,a,3,borrowed,빌린,MOD,관형어,3
4,복잡문장 1: 관형어와 부사어,a,4,book,책을,OBJ,목적어,1
4,복잡문장 1: 관형어와 부사어,a,5,read,읽었다,PRED,서술어,2
4,복잡문장 1: 관형어와 부사어,b,0,yesterday,어제,TIME,부사어(시간),5
4,복잡문장 1: 관형어와 부사어,b,1,library,도서관에서,LOC,부사어(장소),6
4,복잡문장 1: 관형어와 부사어,b,2,borrowed,빌린,MOD,관형어,3
4,복잡문장 1: 관형어와 부사어,b,3,book,책을,OBJ,목적어,1
4,복잡문장 1: 관형어와 부사어,b,4,minsu,민수가,SUBJ,주어,0
4,복잡문장 1: 관형어와 부사어,b,5,read,읽었다,PRED,서술어,2
5,복잡문장 2: 안긴문장과 부사어,a,0,younghee,영희가,EMB_SUBJ,안긴문장의 주어,7
5,복잡문장 2: 안긴문장과 부사어,a,1,directly,직접,ADV,부사어,4
5,복잡문장 2: 안긴문장과 부사어,a,2,made,만든,MOD,관형어,3
5,복잡문장 2: 안긴문장과 부사어,a,3,cake,케이크를,OBJ,목적어,1
5,복잡문장 2: 안긴문장과 부사어,a,4,cheolsu,철수가,SUBJ,주어,0
5,복잡문장 2: 안긴문장과 부사어,a,5,deliciously,맛있게,ADV,부사어,4
5,복잡문장 2: 안긴문장과 부사어,a,6,eat,먹었다,PRED,서술어,2
5,복잡문장 2: 안긴문장과 부사어,b,0,cheolsu,철수가,SUBJ,주어,0
5,복잡문장 2: 안긴문장과 부사어,b,1,younghee,영희가,EMB_SUBJ,안긴문장의 주어,7
5,복잡문장 2: 안긴문장과 부사어,b,2,directly,직접,ADV,부사어,4
5,복잡문장 2: 안긴문장과 부사어,b,3,made,만든,MOD,관형어,3
5,복잡문장 2: 안긴문장과 부사어,b,4,cake,케이크를,OBJ,목적어,1
5,복잡문장 2: 안긴문장과 부사어,b,5,deliciously,맛있게,ADV,부사어,4
5,복잡문장 2: 안긴문장과 부사어,b,6,eat,먹었다,PRED,서술어,2
6,복잡문장 3: 안긴문장의 목적어 이동,a,0,i,내가,EMB_SUBJ,안긴문장의 주어,7
6,복잡문장 3: 안긴문장의 목적어 이동,a,1,yesterday,어제,TIME,부사어(시간),5
6,복잡문장 3: 안긴문장의 목적어 이동,a,2,met,만난,MOD,관형어,3
6,복잡문장 3: 안긴문장의 목적어 이동,a,3,friend,친구를,OBJ,목적어,1
6,복잡문장 3: 안긴문장의 목적어 이동,a,4,teacher,선생님이,SUBJ,주어,0
6,복잡문장 3: 안긴문장의 목적어 이동,a,5,praise,칭찬했다,PRED,서술어,2
6,복잡문장 3: 안긴문장의 목적어 이동,b,0,teacher,선생님이,SUBJ,주어,0
6,복잡문장 3: 안긴문장의 목적어 이동,b,1,i,내가,EMB_SUBJ,안긴문장의 주어,7
6,복잡문장 3: 안긴문장의 목적어 이동,b,2,yesterday,어제,TIME,부사어(시간),5
6,복잡문장 3: 안긴문장의 목적어 이동,b,3,met,만난,MOD,관형어,3
6,복잡문장 3: 안긴문장의 목적어 이동,b,4,friend,친구를,OBJ,목적어,1
6,복잡문장 3: 안긴문장의 목적어 이동,b,5,praise,칭찬했다,PRED,서술어,2